2007,Alexandros Agapitos,Simon M. Lucas
2007,Alexandros Agapitos,Julian Togelius,Simon Mark Lucas
2007,Alexandros Agapitos,Julian Togelius,Simon M. Lucas
2008,Alexandros Agapitos,Matthew Dyson,Simon M. Lucas,Francisco Sepulveda
2008,Alexandros Agapitos,Matthew Dyson,Jenya Kovalchuk,Simon Mark Lucas
2008,Alexandros Agapitos,Julian Togelius,Simon M. Lucas,Jurgen Schmidhuber,Andreas Konstantinidis
2010,Alexandros Agapitos,Michael O'Neill,Anthony Brabazon
2010,Alexandros Agapitos,Andreas Konstantinidis,Haris Haralambous,Harris Papadopoulos
2010,Alexandros Agapitos,Michael O'Neill,Anthony Brabazon
2011,Alexandros Agapitos,Michael O'Neill,Anthony Brabazon,Theodoros Theodoridis
2011,Alexandros Agapitos,Michael O'Neill,Anthony Brabazon
1996,Paul-Michael Agapow
2000,Ashish Agarwal
2003,Varun Aggarwal
2004,Varun Aggarwal,Robert MacCallum
2006,Varun Aggarwal,Una-May O'Reilly
2002,Davide Agnelli,Alessandro Bollini,Luca Lombardi
1998,Jose L. Aguilar,Mariela Cerrada
1999,Jose Aguilar,Pablo Miranda
1999,Jesus Aguilar,Jose Riquelme,Miguel Toro
1999,Jesus Aguilar,Jose Riquelme,Miguel Toro
2001,Jose Aguilar,Mariela Cerrada
2001,Jose Aguilar,Mariela Cerrada
2004,J. Aguilar,J. Altamiranda
2006,Jose Aguilar,Gilberto Gonzalez
1999,Arturo Hernandez Aguirre,Carlos A. Coello Coello,Bill P. Buckles
1999,Hernan E. Aguirre,Kiyoshi Tanaka,Tatsuo Sugimura
2004,Arturo Hernandez-Aguirre,Carlos Coello-Coello
2006,Dilip P. Ahalpara,Jitendra C. Parikh
2008,Dilip P. Ahalpara,Jitendra C. Parikh
2008,Dilip P. Ahalpara,Amit Verma,Jitendra C. Parikh,Prasanta K. Panigrahi
2009,Dilip Ahalpara,Siddharth Arora,M. Santhanam
2010,Dilip P. Ahalpara
2011,Dilip Ahalpara,Abhijit Sen
2000,John Ahlschwede
1996,Manu Ahluwalia,Terence C. Fogarty
1997,Manu Ahluwalia,Larry Bull,Terence C. Fogarty
1997,Manu Ahluwalia,Larry Bull,Terence C. Fogarty
1998,M. Ahluwalia,L. Bull
1999,Manu Ahluwalia,Larry Bull
1999,Manu Ahluwalia,Larry Bull
2001,Manu Ahluwalia,Larry Bull
2000,Ishfaq Ahmad
1997,Hannu Ahonen,Paulo A. de Souza jr,Vijayendra Kumar Garg
2007,Malek Aichour,Evelyne Lutton
1997,P. Aiyarak,A. S. Saket,M. C. Sinclair
2002,Frederick R. Akalin
2008,Vahab Akbarzadeh,Alireza Sadeghian,Marcus V. dos Santos
1997,M.-R. Akbarzadeh-T.,E. Tunstel,M. Jamshidi
1998,M. R. Akbarzadeh-T.,E. Tunstel,K. Kumbla,M. Jamshidi
2000,M.-R. Akbarzadeh-T.,K. Kumbla,E. Tunstel,M. Jamshidi
2003,M.-R. Akbarzadeh-T.,I. Mosavat,S. Abbasi
1999,Yoshida Akira
2000,Yoshida Akira
2007,Aydin Akyol,Yusuf Yaslan,Osman Kaan Erol
2010,Ala' S. Al-Afeef
2010,Alaa Al-Afeef,Alaa F. Sheta,Adnan Al-Rabea
2011,Alaa Al-Afeef,Alaa Sheta,Adnan Rabea
2008,Shri Vidhya Alagesan,Sruthi Kannan,G. Shanthi,A. P. Shanthi,Ranjani Parthasarathi
1995,Jarmo T. Alander
1994,Jarmo T. Alander
1996,Jarmo T. Alander,Ghodrat Moghadampour,Jari Ylinen
2010,Amir Hossein Alavi,Amir Hossein Gandomi,Mohammad Ghasem Sahab,Mostafa Gandomi
2011,Amir Hossein Alavi,Amir Hossein Gandomi
2011,Amir Hossein Alavi,Mahmoud Ameri,Amir Hossein Gandomi,Mohammad Reza Mirzahosseini
2010,A. H. Alavi,A. H. Gandomi,A. A. R. Heshmati
2011,Amir Hossein Alavi,Pejman Aminian,Amir Hossein Gandomi,Milad Arab Esmaeili
1996,Enrique Alba,Carlos Cotta,Jose M. Troya
1999,Enrique Alba,Carlos Cotta,Jose M. Troya
1999,Enrique Alba,Jose M. Troya
1999,Enrique Alba,Carlos Cotta,Jose M. Troya
2005,Enrique Alba
2004,Ana Claudia M. L. Albuquerque,Jorge D. Melo,Adriao D. Doria Neto
2000,Paul Albuquerque,Bastien Chopard,Christian Mazza,Marco Tomassini
1999,David Alderson
1998,Ricardo Aler
1998,Ricardo Aler,Daniel Borrajo,Pedro Isasi
1998,Ricardo Aler,Daniel Borrajo,Pedro Isasi
1999,Ricardo Aler Mur
2000,Ricardo Aler,Daniel Borrajo,Pedro Isasi
2000,Ricardo Aler,Daniel Borrajo,Pedro Isasi
2001,Ricardo Aler,Daniel Borrajo,Pedro Isasi
2001,Ricardo Aler,Daniel Borrajo,Pedro Isasi
2002,Ricardo Aler,Daniel Borrajo,Pedro Isasi
2011,John Aleshunas,Cezary Janikow
2009,B. J. Alexander,M. J. Gratton
2003,Maria Eva Alfaro Cid
2005,Eva Alfaro-Cid,Anna Esparcia-Alc\'azar,Ken Sharman
2005,Eva Alfaro-Cid,Euan William McGookin,David James Murray-Smith
2006,Eva Alfaro-Cid,Anna Esparcia-Alc\'azar,Ken Sharman
2006,Eva Alfaro-Cid,Ken Sharman,Anna I. Esparcia-Alcazar
2007,Eva Alfaro Cid,Ken Sharman,Anna I. Esparcia Alc\'azar
2007,Eva Alfaro Cid,Ken Sharman,Anna I. Esparcia Alc\'azar,Alberto Cuesta Ca\~nada
2007,Eva Alfaro-Cid,Ken Sharman,Anna I. Esparcia-Alc\`azar
2008,Eva Alfaro-Cid,Antonio Miguel Mora,Juan Juli\'an Merelo Guerv\'os,Anna Esparcia-Alc\'azar,Ken Sharman
2008,E. Alfaro-Cid,P. A. Castillo,A. Esparcia,K. Sharman,J. J. Merelo,A. Prieto,J. L. J. Laredo
2008,Eva Alfaro-Cid,Euan W. McGookin,David J. Murray-Smith,Thor I. Fossen
2008,Eva Alfaro-Cid,Anna Esparcia-Alcazar,Ken Sharman,Francisco Fernandez de Vega,J. J. Merelo
2008,Eva Alfaro-Cid,Alberto Cuesta-Canada,Ken Sharman,Anna Esparcia-Alcazar
2009,Eva Alfaro-Cid,Anna I. Esparcia-Alc\'azar,Pilar Moya,Beatriu Femenia-Ferrer,Ken Sharman,J. J. Merelo
2009,Eva Alfaro-Cid,Anna Esparcia-Alcazar,Pilar Moya,J. J. Merelo,Beatriu Femenia-Ferrer,Ken Sharman,Jaime Primo
2010,Eva Alfaro-Cid,J. J. Merelo,Francisco Fernandez de Vega,Anna I. Esparcia-Alcazar,Ken Sharman
2004,Manuel Alfonseca,Alfonso Ortega
2010,Atif M. Alhejali,Simon M. Lucas
2004,B. Ali,A. E. A. Almaini,T. Kalganova
2008,Mostafa Z. Ali,Robert G. Reynolds,Xiangdong Che
2010,Shaukat Ali,Lionel C. Briand,Hadi Hemmati,Rajwinder K. Panesar-Walawege
2010,Mohammad Ali Ghorbani,Rahman Khatibi,Ali Aytek,Oleg Makarynskyy,Jalal Shiri
2010,Sultan Aljahdali,Alaa F. Sheta
2003,Jess Allen,Hazel M. Davey,David Broadhurst,Jim K. Heald,Jem J. Rowland,Stephen G. Oliver,Douglas B. Kell
2004,Jess Allen,Hazel M. Davey,David Broadhurst,Jem J. Rowland,Stephen G. Oliver,Douglas B. Kell
2009,Sam Allen,Edmund K. Burke,Matthew R. Hyde,Graham Kendall
2005,A. Almal,W. P. Worzel,E. A. Wollesen,C. D. MacLean
2006,Arpit A. Almal,Anirban P. Mitra,Ram H. Datar,Peter F. Lenehan,David W. Fry,Richard J. Cote,William P. Worzel
2007,A. A. Almal,C. D. MacLean,W. P. Worzel
2008,A. A. Almal,C. D. MacLean,W. P. Worzel
2000,Magnus Almgren
2009,M. R. Al-Mulla,F. Sepulveda,M. Colley,A. Kattan
2008,Cesar L. Alonso,Jorge Puente,Jose Luis Montana
2009,Cesar L. Alonso,Jose Luis Montana,Jorge Puente,Cruz Enrique Borges
2009,Cesar L. Alonso,Jose Luis Montana,Cruz Enrique Borges
2008,Fernando Alonso,Loic Martinez,Aurora Perez-Perez,Agustin Santamaria,Juan Pedro Valente
2010,Fernando Alonso,Loic Martinez,Agustin Santamaria,Aurora Perez,Juan Pedro Valente
2006,Anas N. Al-Rabadi
2005,Sameer H. Al-Sakran,John R. Koza,Lee W. Jones
2000,Bjorn K. Alsberg,Nathalie Marchand-Geneste,Ross D. King
2009,Riyad Alshammari,Peter Lichodzijewski,Malcolm I. Heywood,A. Nur Zincir-Heywood
2010,Riyad Alshammari,A. Nur Zincir-Heywood
2010,Riyad Alshammari,A. Nur Zincir-Heywood
2011,Riyad Alshammari,A. Nur Zincir-Heywood
2009,Fawaz A. Alsulaiman,Nizar Sakr,Julio J. Valdes,Abdulmotaleb El Saddik,Nicolas D. Georganas
1994,Lee Altenberg
1994,Lee Altenberg
1994,Lee Altenberg
1994,Lee Altenberg
1995,Lee Altenberg
1995,Lee Altenberg,Marcus W. Feldman
2005,Lee Altenberg
2004,Lee Altenberg
2005,Lee Altenberg
2007,A. Alvarez,Alejandro Orfila,G. Basterretxea,J. Tintore,G. Vizoso,A. Fornes
2003,Gabriel Alvarez
1998,Luis F. Alvarez,Vassili V. Toropov
2000,Luis F. Alvarez,Vassili V. Toropov,David C. Hughes,Ashraf F. Ashour
2003,Marcos Alvarez-Diaz,Alberto Alvarez
2005,Marcos Alvarez-Diaz,Alberto Alvarez
2006,Marcos Alvarez-Diaz,Marcos Dominquez-Torreiro
2008,Marcos Alvarez-Diaz,Gonzalo Caballero Miguez
2008,Marcos Alvarez-Diaz,Gonzalo Caballero Miguez,Mario Solino
2009,Marcos Alvarez-Diaz,Josep Mateu-Sbert,Jaume Rossello-Nadal
2010,Marcos Alvarez Diaz,Manuel Gonzalez Gomez,Angeles Saavedra Gonzalez,Jacobo De Una Alvarez
2010,Marcos Alvarez-Diaz,Alberto Alvarez
2010,Marcos Alvarez Diaz
2004,Saoirse Amarteifio,Michael O'Neill
2005,Saoirse Amarteifio,Michael O'Neill
2005,Saoirse Amarteifio
1997,Yali Amit,Donald Geman
1998,Martyn Amos,Paul E. Dunne,Alan Gibbons
2010,Deepa Anand,K. K. Bharadwaj
1994,Kenneth R. Anderson
2002,Eike Falk Anderson
1999,Bjorn Andersson,Per Svensson,Peter Nordin,Mats Nordahl
2000,Bjorn Andersson,Per Svensson,Peter Nordin,Mats Nordahl
1998,Claes Andersson,Mats G. Nordahl
2000,Thord Andersson,Per-Erik Forssen
2007,Daichi Ando,Palle Dahlsted,Mats Nordahl,Hitoshi Iba
2007,Daichi Ando,Hitoshi Iba
2009,Jun Ando,Tomoharu Nagao
2002,Shin Ando,Hitoshi Iba,Erina Sakamoto
2002,Shin Ando,Erina Sakamoto,Hitoshi Iba
2004,Shin Ando,Hitoshi Iba
1994,David Andre
1994,David Andre
1994,David Andre
1994,David Andre
1995,David Andre
1995,David Andre,John R. Koza
1995,David Andre
1996,David Andre,Forrest H. Bennett III,John R. Koza
1996,David Andre,John R. Koza
1996,David Andre,Forrest H. Bennett III,John R. Koza
1996,David Andre,Astro Teller
1996,David Andre,John R. Koza
1997,David Andre
1998,David Andre
1998,David Andre,John R. Koza
1998,David Andre,Forrest H. Bennett III,John Koza,Martin A. Keane
1999,D. Andre,A. Teller
2008,Peter Andreae,Huayang Xie,Mengjie Zhang
1994,Martin Andrews,Richard Prager
2008,J. H. Ang,E. J. Teoh,C. H. Tan,K. C. Goh,K. C. Tan
1993,Peter John Angeline
1994,Peter John Angeline
1993,Peter J. Angeline,Jordan B. Pollack
1994,P. J. Angeline
1992,Peter J. Angeline,Jordan B. Pollack
1993,P. J. Angeline,J. B. Pollack
1993,Peter J. Angeline,Jordan Pollack
1994,P. J. Angeline,J. B. Pollack
1994,Peter J. Angeline
1995,Peter J. Angeline
1995,P. J. Angeline
1995,Peter J. Angeline
1996,Peter J. Angeline
1996,Peter J. Angeline
1996,Peter J. Angeline
1996,Peter J. Angeline
1997,Peter J. Angeline
1997,Peter J. Angeline
1997,Peter J. Angeline
1997,Peter J. Angeline,David B. Fogel
1997,Peter J. Angeline
1997,Peter J. Angeline
1997,Peter J. Angeline
1998,Peter J. Angeline
1998,Peter J. Angeline
1998,Peter J. Angeline
1998,Peter J. Angeline
1999,Peter J. Angeline
2000,Peter J. Angeline
2008,Plamen Angelov,Arthur Kordon,Xiaowei Zhou
2003,Mauro Annunziato,Carlo Bruni,Matteo Lucchetti,Stefano Pizzuti
2011,Jason Ansel,Maciej Pacula,Saman Amarasinghe,Una-May O'Reilly
2009,Gary Anthes
2002,Lisa Patricia Anthony
2004,Jan Antolik
2005,Jan Antolik,William H. Hsu
2010,Maria A. Antoniou,Efstratios F. Georgopoulos,Konstantinos A. Theofilatos,Anastasios P. Vassilopoulos,Spiridon D. Likothanassis
2010,Maria Antoniou,Efstratios Georgopoulos,Konstantinos Theofilatos,Spiridon Likothanassis
1991,Hendrik James Antonisse
1999,Shinya Aoki,Tomoharu Nagao
1999,Joaquim N. Aparicio,Luis Correia,Fernando Moura-Pires
2006,Masamoto Arakawa,Kiyoshi Hasegawa,Kimito Funatsu
2006,Claus Aranha,Hitoshi Iba
1999,Dieferson L. A. Araujo,Heitor S. Lopes,Alex A. Freitas
2000,Dieferson L. A. Araujo,Heitor S. Lopes,Alex A. Freitas
2003,Sergio G. Araujo,A. Mesquita,Aloysio C. P. Pedroza
2003,Sergio Granato de Araujo,Antonio C. Mesquita,Aloysio C. P. Pedroza
2004,Lourdes Araujo
2006,L. Araujo
2010,Lourdes Araujo,Jesus Santamaria
2011,Filipe de Lima Arcanjo,Gisele Lobo Pappa,Paulo Viana Bicalho,Wagner Meira jr,Altigran Soares da Silva
2006,Francesco Archetti,Stefano Lanzeni,Enza Messina,Leonardo Vanneschi
2007,Francesco Archetti,Stefano Lanzeni,Enza Messina,Leonardo Vanneschi
2007,Francesco Archetti,Stefano Lanzeni,Enza Messina,Leonardo Vanneschi
2010,Francesco Archetti,Ilaria Giordani,Leonardo Vanneschi
2010,Francesco Archetti,Ilaria Giordani,Leonardo Vanneschi
2007,Andrea Arcuri,Xin Yao
2008,Andrea Arcuri
2008,Andrea Arcuri,Xin Yao
2008,Andrea Arcuri,David Robert White,John Clark,Xin Yao
2009,Andrea Arcuri
2009,Andrea Arcuri
2009,Andrea Arcuri
2010,Andrea Arcuri,Xin Yao
2011,Andrea Arcuri
1994,David H. Ardell
2009,Maritza Arganis,Rafael Val,Jordi Prats,Katya Rodriguez,Ramon Dominguez,Josep Dolz
1997,Masanori Arita,Akira Suyama,Masami Hagiya
2008,Konstantine Arkoudas
2000,V. Arkov,C. Evans,P. J. Fleming,D. C. Hill,J. P. Norton,I. Pratt,D. Rees,K. Rodriguez-Vazquez
2009,Pasquale Arpaia,Fabrizio Clemente,Carlo Manna,Giuseppe Montenero
2005,Tughrul Arslan
2009,M. Arvaneh,H. Ahmadi,A. Azemi,M. Shajiee,Z. S. Dastgheib
2011,Mojtaba Asadi,Mehdi Eftekhari,Mohammad Hossein Bagheripour
2003,Kenneth Ashcraft
1998,I. Ashiru,C. A. Czarnecki
1997,Dan Ashlock
1997,Dan Ashlock,Charles Richter
1998,Dan Ashlock,James I. Lathrop
1998,Dan Ashlock,Mark Joenks
2003,Dan Ashlock,Kenneth M. Bryden
2004,Daniel Ashlock,Kenneth Bryden,Steven Corns
2004,Daniel Ashlock,Stephen Willson,Nicole Leahy
2005,Daniel A. Ashlock,Kenneth M. Bryden,Wendy Ashlock,Stephen P. Gent
2006,Daniel A. Ashlock,Kenneth M. Bryden,Steven Corns,Justin Schonfeld
2006,Daniel Ashlock
2006,Daniel Ashlock,Kenneth M. Bryden,Nathan G. Johnson
2006,Daniel Ashlock,Kenneth M. Bryden
2008,Daniel Ashlock,Taika von Konigslow
2008,Daniel Ashlock,Elizabeth Warner
2008,Daniel A. Ashlock,Kenneth M. Bryden,Steven Corns
2009,Daniel Ashlock,Adam J. Shuttleworth,Kenneth M. Bryden
2009,Daniel Ashlock,Douglas McCorkle,Kenneth M. Bryden
2010,Daniel Ashlock,Justin Schonfeld
2005,Wendy Ashlock,Dan Ashlock
2006,Wendy Ashlock
2006,Wendy Ashlock
2003,A. F. Ashour,L. F. Alvarez,V. V. Toropov
2010,Muhammad Waqar Aslam,Zhechen Zhu,Asoke K. Nandi
2009,V. G. Asouti,I. C. Kampolis,K. C. Giannakoglou
1993,M. Atkin,P. R. Cohen
1993,M. Atkin,P. R. Cohen
1994,Marc S. Atkin,Paul R. Cohen
1995,Marc S. Atkin,Paul R. Cohen
1995,Marc S. Atkin,Paul R. Cohen
2010,Daniel L. Atkins,Roman Klapaukh,Will N. Browne,Mengjie Zhang
2011,Daniel Atkins,Kourosh Neshatian,Mengjie Zhang
1999,John A. Atkinson-Abutridy,Julio R. Carrasco-Leon
1994,Laurent Atlan,Jerome Bonnet,Martine Naillon
2010,Indriyati Atmosukarto,Linda G. Shapiro,Carrie Heike
2010,Indriyati Atmosukarto
2011,Indriyati Atmosukarto
2000,Douglas A. Augusto,Helio J. C. Barbosa
2008,Douglas A. Augusto,Helio J. C. Barbosa,Nelson F. F. Ebecken
2010,Douglas Adriano Augusto,Helio Jose Correa Barbosa,Nelson Francisco Favilla Ebecken
2011,Douglas A. Augusto,Helio J. C. Barbosa,Andre M. S. Barreto,Heder S. Bernardino
2002,Peter Augustsson,Krister Wolff,Peter Nordin
2007,Melanie Aurnhammer
2003,M. P. Austin,R. G. Bates,M. A. H. Dempster,S. N. Williams
2004,Mark Austin,Graham Bates,Michael Dempster,Stacy Williams
2004,Mark P. Austin,Graham Bates,Michael A. H. Dempster,Vasco Leemans,Stacy N. Williams
2004,Mathieu Autones,Aryel Beck,Phillippe Camacho,Nicolas Lassabe,Herve Luga,Franccois Scharffe
2005,Lerina Aversano,Massimiliano Di Penta,Kunal Taneja
2006,Lerina Aversano,Massimiliano Di Penta,Kunal Taneja
2009,J. L. Avila,Eva Lucrecia Gibaja Galindo,Sebastian Ventura
2010,Jose Luis Avila-Jimenez,Eva Gibaja,Sebastian Ventura
2008,Ali Aytek,Ozgur Kisi
2008,Ali Aytek,M. Asce,Murat Alp
1995,Tevfik Aytekin,Emin Erkan Korkmaz,Halil Altay G\"uvennir
2002,R. Muhammad Atif Azad,Conor Ryan,Mark E. Burke,Ali R. Ansari
2002,R. Muhammad Atif Azad
2003,R. Muhammad Atif Azad,Conor Ryan
2003,Raja Muhammad Atif Azad
2004,R. Muhammad Atif Azad,Ali R. Ansari,Conor Ryan,Michael Walsh,Tim McGloughlin
2005,R. Muhammad Atif Azad,Conor Ryan
2008,R. Muhammad Atif Azad,Conor Ryan
2010,R. Muhammad Atif Azad,Conor Ryan
2011,R. Muhammad Atif Azad,Conor Ryan
1998,Farooq Azam,H. F. VanLandingham
1998,Farooq Azam,H. F. VanLandingham
2008,H. Md Azamathulla,A. Ab. Ghani,N. A. Zakaria,S. H. Lai,C. K. Chang,C. S. Leow,Z. Abuhasan
2010,H. Md. Azamathulla,Aminuddin Ab Ghani,Nor Azazi Zakaria,Aytac Guven
2011,H. Md. Azamathulla,Aytac Guven,Yusuf Kagan Demir
2005,Yaniv Azaria,Moshe Sipper
2005,Yaniv Azaria,Moshe Sipper
2002,Vinaysheel Baber,Rema Ananthanarayanan,Krishna Kummamuru
1994,Vladan Babovic,A. W. Minns
1995,Vladan Babovic
1996,Vladan Babovic
1996,Vladan Babovic
1996,V. Babovic
1997,Vladan Babovic,Michael B. Abbott
1997,Vladan Babovic,Michael B. Abbott
1997,Vladan Babovic
1998,V. Babovic
1998,V. Babovic
1998,Vladan Babovic
1999,Vladan Babovic,Maarten Keijzer
1999,V. Babovic,M. Keijzer
2000,Vladan Babovic,Maarten Keijzer
2000,Vladan Babovic
2000,Vladan Babovic,Maarten Keijzer
2001,Vladan Babovic,Maarten Keijzer
2001,Vladan Babovic,Maarten Keijzer,David Rodriguez Aquilera,Joe Harrington
2002,Vladan Babovic,Jean-Philippe Drecourt,Maarten Keijzer,Peter Friis Hansen
2003,Vladan Babovic,Maarten Keijzer
2007,B. V. Babu,S. Karthik
2000,Brandon M. Bachman
1997,Thomas Back,U. Hammel,H.-P. Schwefel
2000,Thomas Back,David B. Fogel,Darrell Whitley,Peter J. Angeline
1996,Gerriet Backer
2008,Kjell Backman,Palle Dahlstedt
2007,Mohamed Bahy Bader-El-Den,Riccardo Poli
2007,Mohamed Bader-El-Den,Riccardo Poli
2008,Mohamed Bahy Bader-El-Den,Riccardo Poli
2008,Mohamed Bader-El-Den,Riccardo Poli
2008,Mohamed Bader-El-Den,Riccardo Poli
2008,Mohamed Bader-El-Den,Riccardo Poli
2009,Mohamed Bader El Den,Riccardo Poli
2009,Mohamed Bader El Den
2009,Mohamed Bahy Bader-El-Den,Shaheen Fatima
2009,Mohamed Bahy Bader-El-Den,Riccardo Poli,Shaheen Fatima
2010,Mohamed Bader-El-Den,Shaheen Fatima
2007,Khaled M. S. Badran,Peter I. Rockett
2008,Khaled M. S. Badran,Peter Rockett
2010,Khaled Badran,Peter I. Rockett
2011,Khaled Badran,Peter Rockett
2010,Hyeon Bae,Tae-Ryong Jeon,Sungshin Kim,Hyun-Soo Kim,DongSeop Kim,Seung Soo Han,Gary S. May
1999,Patrick Van Bael,Dirk Devogelaere,M. Rijckaert
2009,Guy Baele,Nicolas Bredeche,Evert Haasdijk,Steven Maere,Nico Michiels,Yves Van de Peer,Christopher Schwarzer,Ronald Thenius
2006,Ebrahim Bagheri,Hossein Deldari
2000,Stefania Baglioni,Celia da Costa Pereira,Dario Sorbello,Andrea G. B. Tettamanzi
1999,A. J. Bagnall,G. D. Smith
2005,Antoine B. Bagula,Hong F. Wang
2006,Antoine B. Bagula
2006,Antoine B. Bagula
2009,Alireza Bahiraie,Noor Akma bt Ibrahim,A. K. M. Azhar
2010,Haiying Bai,Noriko Yata,Tomoharu Nagao
2008,Linge Bai,Manolya Eyiyurekli,David E. Breen
2008,Linge Bai,Manolya Eyiyurekli,David E. Breen
2008,Linge Bai,Manolya Eyiyurekli,David E. Breen
2004,Stuart Bain,John Thornton,Abdul Sattar
2002,William Bains,Richard Gilbert,Lilya Sviridenko,Jose-Miguel Gascon,Robert Scoffin,Kris Birchall,Inman Harvey,John Caldwell
2004,William Bains,Antranig Basman,Cat White
2006,Stephen D. Baird,Marcel Turcotte,Robert G. Korneluk,Martin Holcik
2003,Andrei Bajurnow,Vic Ciesielski
2004,Andrei Bajurnow,Vic Ciesielski
2010,James Baker,Nuri Celik,Nobutaka Omaki,Jill Kobashigawa,Hyoung-Sun Youn,Magdy F. Iskander
2002,Zohra Bakkoury
1996,Karthik Balakrishnan,Vasant Honavar
1997,Karthik Balakrishnan,Vasant Honavar
2009,P. Balasubramaniam,A. Vincent Antony Kumar
2010,Krisztian Balazs,Janos Botzheim,Laszlo T. Koczy
2010,Krisztian Balazs,Janos Botzheim,Laszlo T. Koczy
1999,Marton E. Balazs,Daniel L. Richter
2006,Robert Baldock,Kristina Shea
1997,James F. Baldwin,Trevor P. Martin,James G. Shanahan
1999,James F. Baldwin,Trevor P. Martin,James G. Shanahan
1999,Joze Balic
2000,Joze Balic,Miran Brezocnik,Franci Cus
2002,J. Balic,M. Nastran
2002,Joze Balic,Marjan Korosec
2006,Joze Balic,Miha Kovacic,Bostjan Vaupotic
2007,Jerzy Marian Balicki
1994,Shumeet Baluja,Dean Pomerleau,Todd Jochem
2007,Armand Bankhead III,Robert B. Heckendorn
2004,Edwin Roger Banks,James Hayes,Edwin Nunez
2004,E. R. Banks,J. C. Hayes,E. Nunez
2005,Edwin Roger Banks,Edwin Nunez,Paul Agarwal,Claudette Owens,Marshall McBride,Ron Liedel
2006,Edwin Roger Banks,Edwin Nunez,Paul Agarwal,Marshall McBride,Ronald Liedel,Claudette Owens
2009,Edwin Roger Banks,Paul Agarwal,Marshall McBride,Claudette Owens
2009,Edwin Roger Banks,Paul Agarwal,Marshall McBride,Claudette Owens
2009,Edwin Roger Banks,Paul Agarwal,Marshall McBride,Claudette Owens
2009,Edwin Roger Banks,Paul Agarwal,Marshall McBride,Claudette Owens
1993,Wolfgang Banzhaf
1993,Wolfgang Banzhaf
1994,Wolfgang Banzhaf
1997,Wolfgang Banzhaf,Peter Nordin,Markus Olmer
1997,Wolfgang Banzhaf
1998,Wolfgang Banzhaf,Peter Nordin,Robert E. Keller,Frank D. Francone
2000,Wolfgang Banzhaf
1998,Wolfgang Banzhaf,Dirk Banscherus,Peter Dittrich
2000,Wolfgang Banzhaf,Dirk Banscherus,Peter Dittrich
2002,W. Banzhaf,W. B. Langdon
2000,Wolfgang Banzhaf
2000,Wolfgang Banzhaf
2000,W. Banzhaf
2001,W. Banzhaf
2001,W. Banzhaf
2001,W. Banzhaf
2002,W. Banzhaf
2002,W. Banzhaf
2003,Wolfgang Banzhaf
2003,Wolfgang Banzhaf
